bldngId,bldngTy,mxOccpn,units,region,geometry
31,Residental,7,"[267,329]",South,"list(c(-1356.46439985734, -1396.1673702475, -1407.74424489233, -1368.04127450218, -1356.46439985734, 699.134140151411, 694.268532049771, 788.734897123312, 793.600505224952, 699.134140151411))"
32,Commercial,NA,[831],Central,"list(c(-2180.13128519788, -2220.13106561726, -2220.42866077851, -2180.42888035913, -2180.13128519788, 3527.62878658184, 3527.4962482793, 3617.30984084836, 3617.4423791509, 3527.62878658184))"
33,Residental,6,"[20,209,362]",East,"list(c(1279.06602159588, 1260.75188202974, 1251.20234125318, 1328.67935605502, 1338.61247880764, 1279.06602159588, 4421.40732002636, 4426.38005274435, 4517.64227997664, 4514.01867186112, 4405.23901384153, 4421.40732002636))"
34,Commercial,NA,[435],East,"list(c(1108.75556819236, 1110.64026165397, 1071.33288662455, 1069.92786176802, 1153.11929876928, 1146.7326469468, 1046.48794274626, 1042.02427963053, 1108.75556819236, 4341.91538469148, 4374.3617875466, 4372.98023902583, 4412.95555522411, 4415.87951050335, 4305.92853855531, 4294.6717657754, 4334.42193195857, 4341.91538469148))"
35,Residental,NA,NA,South,"list(c(1138.28098843842, 1133.29316819643, 872.929852957115, 866.980372745145, 901.051339288842, 903.951144389092, 825.317747808442, 835.305620625581, 908.04020855726, 1138.28098843842, 1204.64093518689, 1164.95313291423, 1187.84986518585, 1073.91975935931, 1076.39625466044, 1036.50150399847, 1030.78592686937, 1225.98863831579, 1229.68661118253, 1204.64093518689))"
36,Residental,NA,NA,South,"list(c(-1739.37292004495, -1741.58794206401, -1600.26283925175, -1648.63708011585, -1684.85957491143, -1664.87998866755, -1739.37292004495, 1972.48599991216, 2012.4246237925, 2020.26260577988, 1916.9987336209, 1933.96725950808, 1976.61742626675, 1972.48599991216))"
37,Commercial,NA,[1747],North-west,"list(c(-3724.15034321404, -3764.10975883091, -3768.92931297397, -3670.94210708572, -3672.21802559031, -3727.02423252275, -3724.15034321404, 5331.06922967641, 5329.26781257915, 5436.17618343016, 5433.04899987173, 5393.06935465107, 5394.81845105264, 5331.06922967641))"
38,Residental,10,"[1402,1567,1596,1606]",North-west,"list(c(-3835.23807012601, -3832.14727035154, -3739.32894151298, -3742.41974128744, -3835.23807012601, 7427.95354112225, 7467.83394930414, 7460.64037022811, 7420.75996204622, 7427.95354112225))"
39,Commercial,NA,NA,South,"list(c(-921.590826947466, -881.590861321946, -881.698210441097, -921.698176066617, -921.590826947466, 1520.38100810334, 1520.32856806864, 1438.44530653982, 1438.49774657452, 1520.38100810334))"
40,Commercial,NA,NA,Central,"list(c(-1601.41869897804, -1600.68357122738, -1500.46580709968, -1499.92564468783, -1598.01516688899, -1596.6655850502, -1598.28126676578, -1681.46387523063, -1682.90131959893, -1642.90677787291, -1642.10999260087, -1601.41869897804, 5851.89314312723, 5884.81708598373, 5882.57941779676, 5807.81040355002, 5811.8364359803, 5844.71740254755, 5811.84381174808, 5813.0417616074, 5900.04470137199, 5900.70548282285, 5852.47915660254, 5851.89314312723))"
41,Commercial,NA,NA,Central,"list(c(-958.143881013211, -959.587360684306, -871.289445318979, -873.087602915066, -951.455758098263, -958.143881013211, 5155.47152419604, 5195.56367841079, 5191.9616609554, 4996.93065607809, 5000.89892892261, 5155.47152419604), c(-912.032759016152, -911.594248406234, -918.059089216176, -912.650464629437, -912.032759016152, 5098.11590837936, 5153.57258254494, 5153.83630869688, 5038.98522057756, 5098.11590837936))"
42,Residental,NA,NA,South,"list(c(112.122797776415, 110.567304770101, 70.5773957772268, 79.2363725182428, 119.14111771553, 112.122797776415, 148.535489418269, 79.2992261188718, 80.1976573859168, 252.808825974891, 250.049965568935, 148.535489418269))"
43,Residental,6,"[36,320]",South,"list(c(-572.992417561489, -571.448182518001, -454.644878265527, -456.189113309015, -572.992417561489, 1845.82167238399, 1885.79185299568, 1881.27919498759, 1841.30901437591, 1845.82167238399))"
44,Commercial,NA,NA,North-west,"list(c(-3528.99690888511, -3753.57718109936, -3755.39080926411, -3637.83610885491, -3637.28882533138, -3568.51432053366, -3567.91532169368, -3527.91846217941, -3528.99690888511, 6414.07752515187, 6409.10792094653, 6476.71072006264, 6478.98112360325, 6450.64442067928, 6452.83764576211, 6500.63644566691, 6500.13521817795, 6414.07752515187))"
45,Commercial,NA,NA,Central,"list(c(-787.791803305756, -708.978023344933, -703.215200147652, -743.124919964845, -746.3572317677, -783.828434915375, -783.867593931326, -866.106782388722, -859.367923872751, -787.791803305756, 3867.87394290241, 3868.47495739476, 3782.84653244344, 3780.16059422503, 3828.18874972364, 3827.90300354894, 3797.26373726297, 3797.36884440432, 3865.90791460427, 3867.87394290241))"
46,Residental,NA,NA,East,"list(c(1090.79726498658, 1130.79720783234, 1130.65475909902, 1090.65481625325, 1090.79726498658, 3571.49110775791, 3571.42348871154, 3487.15815967223, 3487.2257787186, 3571.49110775791))"
47,Commercial,NA,[1326],North-west,"list(c(-3350.77718446197, -3347.84970859426, -3424.08105370028, -3420.29420494846, -3350.77718446197, 6135.00095376702, 6077.86644182775, 6078.26733959873, 6132.3096509596, 6135.00095376702))"
48,Residental,17,"[607,646,668,716,758,816]",Central,"list(c(-1801.29236365684, -1799.34029848366, -1886.57866161888, -1888.53072679205, -1801.29236365684, 3503.41737730838, 3463.46503768278, 3459.20258466908, 3499.15492429468, 3503.41737730838))"
49,Commercial,NA,"[1294,1308]",Central,"list(c(-604.959487267935, -604.529949588694, -557.062032144086, -553.863005107139, -605.976950572058, -604.959487267935, 5948.73360632283, 5965.61793653317, 5959.89213446972, 5908.42510806883, 5908.73900926193, 5948.73360632283))"
50,Residental,11,"[1073,1180,1208,1238]",Central,"list(c(-447.361154068258, -447.557850744738, -533.811390293442, -536.961556093902, -443.736917153567, -447.361154068258, 5919.51770006977, 5906.87385860642, 5908.2156806004, 5958.8966109417, 5959.54382538916, 5919.51770006977))"
51,Commercial,NA,NA,Central,"list(c(-972.912810712479, -969.890787159992, -1056.0500533404, -1278.28050827969, -1274.16491753931, -1056.63847350443, -972.912810712479, 5472.85491421245, 5432.96923540854, 5426.44119478167, 5443.94441301088, 5483.7321235866, 5466.51126073851, 5472.85491421245))"
52,Residental,7,"[634,658,707,759]",Central,"list(c(-1285.58004415511, -1208.5098355749, -1206.09818741256, -1282.47930563747, -1285.58004415511, 3851.63056959714, 3848.61160812129, 3782.07412816102, 3782.5570664734, 3851.63056959714))"
53,Commercial,NA,NA,Central,"list(c(-1840.86995977163, -1744.12456501115, -1746.40033122554, -1786.38845069755, -1785.06974282923, -1796.8220042453, -1792.44589993585, -1832.27591197046, -1840.86995977163, 5003.05258431417, 4998.91178003427, 4905.55883733925, 4906.53367121854, 4960.62765472368, 4961.13066382804, 4913.81489320893, 4910.13112593579, 5003.05258431417))"
54,Commercial,NA,NA,North-west,"list(c(-3474.1995531273, -3514.12556312437, -3509.63515040961, -3337.38401537095, -3339.19820712086, -3420.90665318622, -3423.28974465751, -3471.70552815616, -3474.1995531273, 6319.42899988951, 6321.86081520201, 6395.58527199708, 6409.64486224266, 6342.75104822523, 6336.38331342868, 6366.96227237905, 6360.37637998817, 6319.42899988951))"
55,Residental,NA,NA,South,"list(c(-1949.99039796921, -1989.91718276063, -1984.14171509123, -1944.21493029982, -1949.99039796921, 1788.61471512407, 1791.03377614439, 1886.35830610381, 1883.93924508348, 1788.61471512407))"
56,Residental,6,"[1027,1093,1144]",North-west,"list(c(-2968.30383762058, -2967.40546379515, -3007.40163587082, -3008.75923935923, -3000.17588615863, -2935.62830335261, -2942.7954921977, -2968.30383762058, 6351.37438074058, 6251.52173865519, 6250.96836780878, 6349.09233492059, 6431.3377787085, 6442.87523391927, 6349.41815515354, 6351.37438074058))"
57,Residental,6,"[1500,1549]",North-west,"list(c(-4377.99234176714, -4375.13122174143, -4142.01070718337, -4143.20549624221, -4183.16753617468, -4181.06278006452, -4377.99234176714, 6584.1189845609, 6624.01652824717, 6601.83450622979, 6419.67599216122, 6421.41822189221, 6566.38154625513, 6584.1189845609))"
58,Commercial,119,[447],South,"list(c(454.755509420009, 452.299987524295, 616.06871877601, 624.680591457221, 553.276689317941, 553.40488022473, 552.994981764404, 457.815062164332, 454.755509420009, 1610.80483956249, 1651.44407571229, 1624.67397322463, 1556.33339549562, 1559.12486519161, 1596.75753673863, 1559.13190482054, 1560.16880707332, 1610.80483956249), c(535.066707554874, 495.140339607311, 495.495775291602, 541.262738609272, 535.066707554874, 1600.54014355467, 1605.64319318157, 1599.76068212143, 1599.26209095255, 1600.54014355467
))"
59,Residental,16,"[508,691,725,765,824]",Central,"list(c(-1656.14797813022, -1696.11140883985, -1692.36808166712, -1609.93022305833, -1610.63124187602, -1650.63017767261, -1650.25664564718, -1656.14797813022, 3356.58271690147, 3358.29274787101, 3445.7743191145, 3454.7040444087, 3358.60397833294, 3358.8957575983, 3410.10187563619, 3356.58271690147))"
60,Residental,8,"[546,639,683,689]",Central,"list(c(-2217.91610692305, -2177.93313708555, -2180.42467771366, -2220.40764755116, -2217.91610692305, 3704.29054802597, 3703.12344778443, 3617.76728878692, 3618.93438902845, 3704.29054802597))"
61,Residental,14,"[7,63,104,119,219]",South,"list(c(491.29997407161, 452.498405235663, 482.462278391667, 521.263847227614, 491.29997407161, 2186.44752619482, 2196.16546094812, 2315.80459378547, 2306.08665903218, 2186.44752619482))"
62,Residental,14,"[942,995,1057,1091,1231]",Central,"list(c(-24.5073710741486, -24.8469230976309, 15.1528223450847, 15.3566424855905, 55.9097859747194, 54.0502711433583, -24.5073710741486, 3443.99298318116, 3539.16877162617, 3539.31147592866, 3482.18107695571, 3480.29380724814, 3440.33705306826, 3443.99298318116))"
63,Commercial,NA,NA,Central,"list(c(-379.617268602862, -375.552517124907, -415.39300586356, -424.025482577799, -235.083985065496, -226.894422184697, -317.463567432992, -317.317690331202, -268.50438314486, -273.323327987665, -379.617268602862, 3815.79687348787, 3770.41824277296, 3766.8495655579, 3863.22199449852, 3833.39360787445, 3654.99038157103, 3655.32068287807, 3695.32041687557, 3695.1423970972, 3798.98443707145, 3815.79687348787))"
64,Commercial,NA,[1305],Central,"list(c(-492.806378152962, -447.868947463157, -448.292032399856, -300.054151792698, -299.563531094405, -530.558036934801, -532.853266901096, -492.806378152962, 5887.5753572203, 5886.876278282, 5859.67999331739, 5861.49697437541, 5821.49998334695, 5823.16216170843, 5888.19835537659, 5887.5753572203))"
65,Residental,5,"[230,252]",South,"list(c(-1035.25846360336, -1033.52518638797, -846.065898501616, -657.897960196915, -654.348026587148, -844.816728649902, -1035.25846360336, 1614.9711466625, 1654.93357589415, 1649.90634372429, 1664.94868137582, 1625.10651813929, 1609.8938750348, 1614.9711466625))"
66,Commercial,NA,NA,Central,"list(c(-699.6291878215, -698.210273694, -598.283431029737, -599.702345157238, -699.6291878215, 4452.75654812814, 4492.73137374, 4489.18445123058, 4449.20962561872, 4452.75654812814))"
67,Commercial,NA,NA,Central,"list(c(288.038345435221, 287.384764008308, 242.873100878926, 244.088171691227, 204.123980445589, 201.114459447226, 288.038345435221, 4088.79418760159, 4048.79952756655, 4049.52692458098, 4020.83033835891, 4019.138174631, 4090.21467317109, 4088.79418760159))"
68,Commercial,NA,NA,Central,"list(c(-658.179633986883, -667.426586221186, -759.839700328652, -750.592748094349, -658.179633986883, 5233.88747925901, 5194.97098051649, 5216.92926760775, 5255.84576635027, 5233.88747925901))"
69,Residental,NA,NA,South,"list(c(-144.800734378675, -144.511122087599, -286.302885485431, -286.592497776508, -144.800734378675, 1243.55323215316, 1203.55428060789, 1202.52763776184, 1242.52658930711, 1243.55323215316))"
70,Commercial,NA,NA,Central,"list(c(-961.740324123662, -1030.06092055619, -1027.91961618979, -987.932755011879, -988.870368130016, -934.994327254141, -930.611272304842, -941.644222455384, -941.979616904607, -879.829276694403, -889.205585319915, -901.694038537807, -889.226687983239, -898.372462400892, -961.740324123662, 4621.66249938983, 4612.43571540194, 4695.95911720577, 4694.93396690551, 4658.36156812287, 4665.82566665561, 4708.90984681794, 4708.86835977687, 4798.06224161462, 4798.14799688784, 4720.67998312063, 4722.19151782937, 
4720.49050612271, 4630.59015185106, 4621.66249938983))"
71,Residental,5,"[601,635,734]",Central,"list(c(-1141.93627832343, -1141.60862306746, -1079.24366325883, -1084.19565659148, -1142.91063841379, -1141.93627832343, 4403.35048879397, 4416.79759743673, 4425.33385008839, 4361.88200093654, 4363.36234346952, 4403.35048879397))"
72,Commercial,NA,NA,Central,"list(c(-1069.81770026694, -1065.12102316406, -1139.17796239204, -1143.15663668089, -1069.81770026694, 5097.54710170785, 5013.91600336921, 5020.14970282387, 5101.95320437015, 5097.54710170785))"
73,Residental,3,[205],South,"list(c(971.342786411685, 968.740807688957, 928.914690384449, 938.250610592338, 1027.72010766808, 1010.85940406028, 971.342786411685, 475.458824732143, 458.084489216872, 461.810127477295, 561.608719652677, 581.561607394092, 469.512520346182, 475.458824732143))"
74,Commercial,NA,NA,North-west,"list(c(-3327.34629915638, -3287.44604292774, -3293.94566406999, -3333.84592029863, -3327.34629915638, 6067.10517546017, 6064.28213580604, 5972.41784031681, 5975.24087997094, 6067.10517546017))"
75,Residental,9,"[945,1155,1229]",North-west,"list(c(-2681.42713943408, -2679.15379643223, -2568.82096211499, -2571.09430511684, -2681.42713943408, 6204.5428565775, 6244.47820322175, 6238.19744199527, 6198.26209535102, 6204.5428565775))"
76,Commercial,NA,[1302],North-west,"list(c(-3470.60356322663, -3582.52435417692, -3587.94264158317, -3376.82240822003, -3387.91481078346, -3408.4942728555, -3499.92032726447, -3500.09151818847, -3439.73305509826, -3427.35337332017, -3422.02662036318, -3470.60356322663, 5588.40485547138, 5573.10334925859, 5612.73467729064, 5634.61201701091, 5538.00516613134, 5455.96602434956, 5455.57473799775, 5495.57437166691, 5495.8326945594, 5545.18376433232, 5591.57595264723, 5588.40485547138))"
77,Residental,18,"[962,1055,1105,1132,1200,1264]",Central,"list(c(-738.194169224926, -732.520988932161, -650.115359899946, -655.788540192711, -738.194169224926, 6315.68019455509, 6355.27583857518, 6343.46893399746, 6303.87328997737, 6315.68019455509))"
78,Residental,7,"[493,505,549,588]",Central,"list(c(-703.307686034208, -700.648670289542, -784.107136606675, -779.207699983952, -739.291737361127, -741.23475709018, -703.307686034208, 4492.65224495981, 4452.7407223721, 4447.18048909673, 4522.64447479895, 4520.05296406325, 4490.125438851, 4492.65224495981))"
79,Residental,9,"[1379,1483,1661,1728]",North-west,"list(c(-4098.00277251898, -4064.86270300018, -4058.33832851666, -4273.30734767623, -4273.05044996957, -4011.11639827573, -4025.90868073616, -4057.75402678043, -4056.80348621542, -4026.00760942465, -4018.00123713202, -4090.54764896124, -4098.00277251898, 5121.58052512996, 5124.42743373405, 5162.40034832081, 5165.60214773133, 5205.60132276743, 5201.02181292625, 5114.92833686478, 5120.39989377347, 5109.3349160078, 5112.28227490439, 5028.62661459428, 5034.79750981991, 5121.58052512996))"
80,Commercial,NA,NA,Central,"list(c(-1878.06038428777, -1918.02551264575, -1922.99166305675, -1733.4060163325, -1734.98042025348, -1823.1671735751, -1826.86743639977, -1774.18322523016, -1882.54599640403, -1878.06038428777, 4021.12976374933, 4019.45987892396, 4213.03611064998, 4211.53307030378, 4130.80221369556, 4122.60922865874, 4162.43771162042, 4172.07005784567, 4172.90033717508, 4021.12976374933))"
81,Residental,6,"[647,766]",Central,"list(c(-1812.04787827867, -1769.12130348702, -1731.77354795381, -1773.00570298942, -1778.37044885578, -1732.44395040655, -1728.55686425094, -1688.61837904397, -1694.3892060082, -1825.87159156181, -1812.04787827867, 2742.14033143382, 2854.71631324145, 2840.39342398572, 2732.87821396887, 2698.25588641016, 2703.1863117589, 2773.1943672033, 2770.97684620606, 2667.04182704305, 2652.92657531398, 2742.14033143382))"
82,Commercial,NA,NA,East,"list(c(1350.38895384806, 1251.53968137686, 1249.41118499911, 1308.52280623537, 1305.74656061704, 1305.41452825602, 1265.42689662477, 1267.55346276177, 1340.98299703878, 1350.38895384806, 3891.57145371917, 3886.30398289137, 3926.24731153546, 3929.39724610414, 3979.51389813755, 3966.16521374889, 3967.15985766702, 4052.65411523506, 4053.1321675203, 3891.57145371917))"
83,Residental,6,"[169,375]",East,"list(c(1426.76631781665, 1387.18129044731, 1374.21547153566, 1444.30100265322, 1439.02212296415, 1421.40516120959, 1426.76631781665, 3371.34399159794, 3365.5972004786, 3454.90831094444, 3445.57737019503, 3405.92723237398, 3408.27269260942, 3371.34399159794))"
84,Residental,2,[1505],North-west,"list(c(-4501.95454942969, -4541.87230027723, -4543.69139997205, -4489.37533794569, -4490.45493308382, -4501.95454942969, 7395.80691463989, 7391.98457106985, 7465.59321332937, 7459.8336989851, 7396.90806597392, 7395.80691463989))"
85,Commercial,NA,NA,North-west,"list(c(-3226.53498911298, -3186.5684794122, -3190.50477333921, -3248.08979401106, -3241.37273562918, -3226.91924187659, -3226.53498911298, 6352.82289109524, 6351.18640023445, 6255.0539175006, 6251.00857690232, 6344.47732857126, 6343.43863960169, 6352.82289109524))"
86,Commercial,85,"[844,899]",Central,"list(c(-804.188759769287, -864.886030236867, -874.031771225174, -799.821457400862, -804.188759769287, 4446.57184042599, 4447.39297843818, 4517.75527964735, 4513.83958340681, 4446.57184042599))"
87,Commercial,NA,NA,Central,"list(c(4.46395900645429, 13.0607059445384, -26.8048622817657, -40.3912012600919, -37.3100742491221, 2.20358201028393, 4.46395900645429, 3732.60374666049, 3628.01105393386, 3624.73439862793, 3847.30702054306, 3928.40860036756, 3935.6807697778, 3732.60374666049))"
88,Commercial,NA,"[1309,1323]",North-west,"list(c(-3099.09486632186, -3100.23719008825, -3068.0774947774, -3068.76165674767, -3028.76548467201, -3027.53604206727, -3099.09486632186, 6258.50012316896, 6298.48380854703, 6299.40260289842, 6348.85200932905, 6349.40538017546, 6260.54454065743, 6258.50012316896))"
89,Residental,9,"[1372,1506,1571,1579,1642]",North-west,"list(c(-3567.19724083328, -3585.97719382082, -3588.06182345917, -3628.0357317041, -3624.5593147971, -3526.54175964967, -3527.91792925672, -3567.91265708024, -3567.19724083328, 6544.88081371667, 6544.86083331076, 6487.1735997071, 6488.61812718195, 6584.81980758048, 6584.92409061777, 6500.17226630313, 6500.82168629283, 6544.88081371667))"
90,Residental,6,"[124,207]",South,"list(c(249.337844649578, 252.007357702487, 171.009490175168, 168.339977122259, 249.337844649578, 898.469286756506, 858.558464915052, 853.140764786477, 893.051586627932, 898.469286756506))"
91,Commercial,NA,NA,Central,"list(c(-2124.45424719648, -2086.71165098489, -2091.71976160982, -2190.17898749589, -2185.15749963377, -2225.01028246879, -2234.15278531013, -2053.85256497942, -2046.39699137557, -2224.69357024062, -2221.67711809095, -2124.45424719648, 4884.63943649894, 4884.49003147205, 4995.34932304093, 5008.53692089276, 4950.16999542902, 4946.74133675481, 5053.00860186515, 5029.6874268985, 4844.33013146955, 4852.10597594764, 4891.99207648942, 4884.63943649894))"
